,product_id,discounted_price,actual_price
4159,B08JW1GVS7,2179.0,
4167,B09LHZSMRR,16999.0,
4175,B0B5V47VK4,,49999.0
4179,B08H21B6V7,,2999.0
4187,B09BNXQ6BR,,6499.0
4195,B01FSYQ2A4,,2990.0
4203,B08L5FM4JC,,2400.0
4211,B0B54Y2SNX,799.0,
4219,B08BQ947H3,,149.0
4231,B0B7DHSKS7,3799.0,
4239,B09SJ1FTYV,199.0,
4247,B09XJ5LD6L,23999.0,
4255,B07WHS7MZ1,29990.0,
4263,B0BBVKRP7B,,1999.0
4271,B09NY7W8YD,,11999.0
4279,B0BMM7R92G,,999.0
4287,B08M66K48D,,599.0
4295,B09RFB2SJQ,499.0,
4303,B0B82YGCF6,,3499.0
4311,B08HF4W2CT,,3499.0
4319,B08BCKN299,120.0,
4327,B0B2X35B1K,,6999.0
4335,B09QS9CWLV,,18999.0
4342,B0B1NX6JTN,,2599.0
4350,B078G6ZF5Z,,1199.0
4358,B0BBW521YC,,999.0
4366,B09HSKYMB3,7915.0,
4374,B09YV42QHZ,1499.0,
4382,B09BF8JBWX,,1249.0
4390,B0B5YBGCKD,,599.0
4406,B09MY4W73Q,474.0,
4422,B09T37CKQ5,239.0,
4430,B09GFPN6TP,7499.0,
4438,B0B298D54H,265.0,
4446,B08VB57558,,74999.0
4464,B0B9BXKBC7,1799.0,
4472,B09NY6TRXG,8499.0,
4480,B09NVPJ3P4,1999.0,
4488,B0B3NDPCS9,,17999.0
4493,B09VGKFM7Y,,499.0
4496,B07QCWY5XV,,1399.0
4504,B098QXR9X2,,2999.0
4512,B07H1S7XW8,,499.0
4520,B0BNXFDTZ2,,11999.0
4528,B088ZFJY82,,1499.0
4536,B0B4F4QZ1H,,19499.0
4544,B09BCNQ9R2,,499.0
4552,B0B9BD2YL4,2599.0,
4560,B071Z8M4KX,,999.0
4568,B09N3ZNHTY,1499.0,
4587,B005FYNT3G,289.0,
4595,B01J0XWYKQ,599.0,
4603,B09CTRPSJR,,237.0
4611,B08JQN8DGZ,,2990.0
4619,B0B72BSW7K,,699.0
4643,B08TV2P1N8,,3990.0
4651,B07XCM6T4N,349.0,
